GEO_ID,B03002_E001,B03002_M001,B03002_E002,B03002_M002,B03002_E003,B03002_M003,B03002_E004,B03002_M004,B03002_E005,B03002_M005,B03002_E006,B03002_M006,B03002_E007,B03002_M007,B03002_E008,B03002_M008,B03002_E009,B03002_M009,B03002_E010,B03002_M010,B03002_E011,B03002_M011,B03002_E012,B03002_M012,B03002_E013,B03002_M013,B03002_E014,B03002_M014,B03002_E015,B03002_M015,B03002_E016,B03002_M016,B03002_E017,B03002_M017,B03002_E018,B03002_M018,B03002_E019,B03002_M019,B03002_E020,B03002_M020,B03002_E021,B03002_M021
1400000US06037190302,2491,536,1844,306,1198,335,66,45,0,14,296,209,0,14,116,100,168,122,0,14,168,122,647,468,14,35,0,14,43,69,0,14,0,14,538,443,52,60,52,60,0,14
1400000US06037190303,2798,462,2241,440,1448,416,129,84,45,68,285,207,0,14,7,12,327,106,16,23,311,109,557,244,152,152,12,19,41,66,0,14,0,14,227,162,125,81,108,74,17,23
1400000US06037190401,2827,482,2079,326,1530,297,204,103,23,38,214,136,0,14,17,19,91,59,14,18,77,58,748,337,110,84,25,39,8,13,0,14,0,14,328,245,277,148,252,140,25,41
1400000US06037190402,2244,310,1474,320,902,280,166,97,0,14,286,159,0,14,19,35,101,118,0,14,101,118,770,329,77,61,0,14,51,75,0,14,0,14,342,252,300,227,300,227,0,14
1400000US06037190510,4003,596,2390,448,1492,377,205,139,0,14,555,273,0,14,0,14,138,89,25,38,113,81,1613,503,105,98,0,14,232,202,0,14,0,14,1038,495,238,176,232,180,6,10
1400000US06037190520,3434,503,2458,487,1298,496,274,170,0,14,744,322,0,14,33,51,109,102,61,74,48,61,976,308,86,88,0,14,120,146,8,13,0,14,423,163,339,276,202,167,137,148
1400000US06037190701,1748,354,1359,318,763,174,129,93,5,7,325,254,12,23,0,14,125,107,63,95,62,54,389,157,64,58,0,14,0,14,12,21,0,14,140,91,173,116,169,116,4,6
1400000US06037190702,1322,239,1083,231,751,173,68,89,0,14,206,94,0,14,0,14,58,48,0,14,58,48,239,105,40,36,8,12,21,19,0,14,0,14,81,58,89,54,52,44,37,39
1400000US06037190801,2857,349,1720,356,989,341,288,126,31,49,329,181,0,14,18,30,65,73,0,14,65,73,1137,232,181,113,16,30,23,31,0,14,23,46,498,257,396,175,372,170,24,34
1400000US06037190802,2797,441,1973,407,1046,376,455,269,0,14,226,124,0,14,42,64,204,108,39,36,165,109,824,188,126,90,13,21,50,76,36,53,0,14,249,140,350,182,350,182,0,14
1400000US06037190901,3673,455,1255,339,743,329,234,176,0,14,188,125,0,14,0,14,90,87,5,9,85,86,2418,434,25,38,0,14,20,26,0,14,0,14,1456,455,917,366,632,403,285,268
1400000US06037190902,3873,572,1650,327,917,328,378,202,0,14,205,128,26,41,77,114,47,34,15,20,32,28,2223,526,302,308,0,14,224,223,0,14,0,14,1438,345,259,194,136,116,123,147
1400000US06037191000,5426,698,3931,673,2124,661,378,216,48,74,878,393,0,19,68,110,435,193,70,111,365,169,1495,569,100,80,74,116,17,34,0,19,0,19,696,393,608,474,608,474,0,19
1400000US06037191110,3828,518,2726,200,2161,268,70,58,0,14,327,136,0,14,8,13,160,187,3,7,157,186,1102,473,408,451,0,14,0,14,0,14,0,14,566,222,128,85,128,85,0,14
1400000US06037191120,3843,580,1717,304,988,260,174,137,0,14,373,151,0,14,36,65,146,101,38,57,108,85,2126,562,86,73,0,14,115,146,0,14,0,14,1506,514,419,246,349,224,70,79
1400000US06037191201,5973,664,4425,535,3163,531,264,152,26,34,510,204,0,19,165,146,297,200,31,32,266,200,1548,567,215,171,0,19,10,11,0,19,0,19,998,520,325,165,280,150,45,83
1400000US06037191203,1945,337,1155,307,464,126,97,70,0,14,560,323,0,14,0,14,34,50,34,50,0,14,790,119,9,14,0,14,30,24,0,14,0,14,596,110,155,90,155,90,0,14
1400000US06037191204,1568,220,891,119,417,78,201,121,0,14,241,107,0,14,11,18,21,24,0,14,21,24,677,201,27,23,0,14,10,16,0,14,0,14,579,198,61,48,22,19,39,45
1400000US06037191301,1993,376,1222,312,488,105,116,105,54,70,450,305,0,14,24,23,90,68,40,52,50,42,771,158,58,44,21,32,5,7,0,14,0,14,537,134,150,82,117,74,33,40
1400000US06037191302,1780,283,1060,290,510,103,164,203,0,14,328,177,0,14,0,14,58,40,41,35,17,20,720,227,23,32,0,14,7,13,26,42,0,14,441,178,223,117,218,117,5,7
1400000US06037191410,3313,323,1065,151,499,161,70,78,13,23,434,152,0,14,6,10,43,39,0,14,43,39,2248,336,129,112,0,14,337,298,11,18,0,14,1553,393,218,147,195,141,23,35
1400000US06037191420,2853,1058,1166,438,591,227,4,13,9,14,422,243,0,14,10,21,130,105,49,63,81,77,1687,1122,134,192,0,14,26,37,0,14,0,14,703,375,824,1043,774,1050,50,46
1400000US06037191500,5173,776,2396,636,1161,560,325,205,0,19,798,288,5,15,0,19,107,79,16,27,91,73,2777,634,95,78,27,39,213,205,0,19,0,19,2062,629,380,226,312,223,68,62
1400000US06037191610,3663,508,1657,378,775,250,104,77,0,14,607,274,0,14,0,14,171,98,38,37,133,98,2006,465,105,85,22,24,0,14,0,14,0,14,1687,445,192,143,154,119,38,60
