GEO_ID,B19013_E001,B19013_M001
1400000US06037190102,78250,33055
1400000US06037190201,52241,11082
1400000US06037190202,44386,14427
1400000US06037190302,90373,40092
1400000US06037190303,54479,37465
1400000US06037190401,70107,18245
1400000US06037190402,55987,15204
1400000US06037190510,60638,23916
1400000US06037190520,55987,9309
1400000US06037190701,48836,22853
1400000US06037190702,68229,17768
1400000US06037190801,50781,25908
1400000US06037190802,69000,25087
1400000US06037190901,40577,11774
1400000US06037190902,61270,16518
1400000US06037191000,68623,6664
1400000US06037191110,54583,28473
1400000US06037191120,53558,17066
1400000US06037191201,50250,12483
1400000US06037191203,41810,22685
1400000US06037191204,60134,12253
1400000US06037191301,71250,16634
1400000US06037191302,49730,20936
1400000US06037191410,51875,10451
1400000US06037191420,75597,13724
1400000US06037191500,66367,14967
1400000US06037191610,53641,9993
1400000US06037191620,61369,15797
1400000US06037191710,31563,9136
1400000US06037191720,38453,11453
1400000US06037191810,71214,18686
1400000US06037191820,86164,20701
1400000US06037191901,77604,20164
1400000US06037191902,93523,27417
1400000US06037192001,89102,32306
1400000US06037192002,133828,45408
1400000US06037192300,83219,22847
1400000US06037192410,131250,43407
1400000US06037192420,96667,12785
1400000US06037192510,64049,19106
1400000US06037192520,65479,9251
1400000US06037192610,51881,4085
1400000US06037192620,53176,9133
1400000US06037192700,60357,14004
1400000US06037194101,101100,23184
1400000US06037194102,198158,49050
1400000US06037194200,143466,80594
1400000US06037194300,228824,38270
1400000US06037194401,88750,21782
1400000US06037194402,112529,20547
1400000US06037194500,128816,53927
1400000US06037195100,168333,30944
1400000US06037195201,128314,12061
1400000US06037195202,162571,16849
1400000US06037195300,95511,31656
1400000US06037195400,132500,49013
1400000US06037195500,123750,40479
1400000US06037195600,103239,39306
1400000US06037195710,64069,13656
1400000US06037195720,75066,15091
1400000US06037195802,106845,31294
1400000US06037195803,100481,31330
1400000US06037195804,73750,40473
1400000US06037195901,91209,7816
1400000US06037195902,135606,25453
1400000US06037195903,94861,9050
1400000US06037197200,100392,23202
1400000US06037197300,108696,15515
1400000US06037197410,103385,14198
1400000US06037197420,99375,25596
1400000US06037197500,81914,15332
1400000US06037197600,78591,27531
1400000US06037197700,62965,17921
1400000US06037199001,51324,14765
1400000US06037199002,66071,20713
1400000US06037199110,83333,24055
1400000US06037199120,44120,10891
1400000US06037199201,58597,25980
1400000US06037199202,98447,23944
1400000US06037199300,104201,4775
1400000US06037199400,52212,21720
1400000US06037199700,55435,17034
1400000US06037199801,90104,40140
1400000US06037199802,65625,13035
1400000US06037199900,41121,10428
1400000US06037201110,101305,3435
1400000US06037201120,84067,14747
1400000US06037201200,86786,17231
1400000US06037201301,81174,22092
1400000US06037201302,122684,29932
1400000US06037201401,54100,11438
1400000US06037201402,93021,34042
1400000US06037201501,92813,26553
1400000US06037201503,65486,17446
1400000US06037201504,117702,30260
1400000US06037201601,65938,29966
1400000US06037201602,74609,27418
1400000US06037201700,85000,18599
1400000US06037203100,60583,20086
1400000US06037203200,60570,9309
1400000US06037203300,45536,20196
1400000US06037203500,64725,8034
1400000US06037203601,55167,27826
1400000US06037203602,77500,17429
1400000US06037203710,87440,14057
1400000US06037203720,58490,38401
1400000US06037203800,68750,12571
1400000US06037203900,71563,21383
1400000US06037204110,72011,23428
1400000US06037204120,88190,23656
1400000US06037204200,50069,9749
1400000US06037204300,61029,15055
1400000US06037204410,51250,49475
1400000US06037204420,55957,5440
1400000US06037204600,51429,8482
1400000US06037204700,78821,20961
1400000US06037204810,57283,10288
1400000US06037204820,70714,21772
1400000US06037204910,51994,8130
1400000US06037204920,75972,13350
1400000US06037205110,54939,9352
1400000US06037205120,32406,16912
1400000US06037206010,70304,32411
1400000US06037206020,155658,29954
1400000US06037206050,35924,24328
1400000US06037206051,161667,57535
1400000US06037206052,110714,39211
1400000US06037206053,48657,18169
1400000US06037206054,87292,39059
1400000US06037206201,47333,17833
1400000US06037206202,24182,6581
1400000US06037206301,14385,795
1400000US06037206302,9375,2781
1400000US06037206303,6803,5924
1400000US06037207101,65729,16774
1400000US06037207102,46952,24870
1400000US06037207103,56652,16179
1400000US06037207303,31969,7818
1400000US06037207304,14342,2318
1400000US06037207305,68348,6900
1400000US06037207306,49729,21946
1400000US06037207307,-666666666,-222222222
1400000US06037207308,90156,26379
1400000US06037207400,78482,29379
1400000US06037207501,115667,30812
1400000US06037207502,24515,18916
1400000US06037207711,145357,45636
1400000US06037207712,63484,31771
1400000US06037207901,71563,44043
1400000US06037207902,104090,14286
1400000US06037208001,90175,19202
1400000US06037208002,56223,29120
1400000US06037208301,42586,10347
1400000US06037208302,60156,12371
1400000US06037208401,35329,11293
1400000US06037208402,80595,20069
1400000US06037208501,89539,18103
1400000US06037208502,33417,11143
1400000US06037208610,66210,10459
1400000US06037208620,62254,13979
1400000US06037208710,65467,5813
1400000US06037208720,35897,3897
1400000US06037208801,37404,10614
1400000US06037208802,37321,21497
1400000US06037208902,39561,7107
1400000US06037208903,48828,18324
1400000US06037208904,31463,9534
1400000US06037209103,38556,9461
1400000US06037209104,41771,19777
1400000US06037209105,33234,11778
1400000US06037209106,39647,37849
1400000US06037209201,79966,11598
1400000US06037209202,50192,14751
1400000US06037209300,31642,8945
1400000US06037209401,33676,12265
1400000US06037209402,49072,16800
1400000US06037209403,26650,11876
1400000US06037209510,43911,7443
1400000US06037209520,44099,3907
1400000US06037209810,35822,7420
1400000US06037209820,59091,20808
1400000US06037210010,27320,6943
1400000US06037211000,195603,73859
1400000US06037211121,73095,24102
1400000US06037211122,48544,9680
1400000US06037211123,81505,37459
1400000US06037211124,70197,22978
1400000US06037211201,62381,6709
1400000US06037211202,62964,19031
1400000US06037211310,48096,6993
1400000US06037211320,52461,18903
1400000US06037211410,49475,5367
1400000US06037211420,55563,15191
1400000US06037211500,78977,27988
1400000US06037211701,93611,44042
1400000US06037211703,64206,6524
1400000US06037211704,51750,20843
1400000US06037211802,49250,6529
1400000US06037211803,65799,14261
1400000US06037211804,47536,25022
1400000US06037211910,72125,15698
1400000US06037211921,47353,11034
1400000US06037211922,58427,3703
1400000US06037212101,59395,16451
1400000US06037212102,43444,10301
1400000US06037212202,59026,5375
1400000US06037212203,30482,8879
1400000US06037212204,33636,14108
1400000US06037212303,30886,9169
